Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
..........Other..transportation..equipment,0.983373329,0.981600179,0.979044861,0.977933085,0.977088245,0.979738081,0.984775831,0.984143503,0.983904347,0.984048112,0.984862911,0.985465154,0.984833421,0.986587803,0.987341523,0.986707527,0.98680848,0.986737365,0.986943898,0.98602985,0.986017154,0.98600588,0.985706677,0.983494422,0.979882242,0.976113907,0.973273268,0.972264638,0.970630187,0.979874182,0.981963602,0.981952483
..........Instruments..and..related..products,0.983292598,0.983366546,0.983274994,0.982835113,0.982242969,0.98198049,0.981505236,0.980891837,0.980287448,0.979753087,0.979638899,0.979698699,0.979602947,0.978831741,0.978242278,0.977350379,0.97680967,0.976012984,0.974132232,0.974389661,0.973561652,0.971330171,0.969580998,0.969278682,0.967151808,0.965394534,0.964878035,0.964869408,0.964424708,0.963555271,0.963227276,0.965250867
..........Miscellaneous..manufacturing..industries,0.96404962,0.964032073,0.962673883,0.961688753,0.960343532,0.959151068,0.958838833,0.959457045,0.958549236,0.957813843,0.958380197,0.959039475,0.958887342,0.957276797,0.955668113,0.954878851,0.950761274,0.949369207,0.948128768,0.944358414,0.943688854,0.941053832,0.938750786,0.939810841,0.934613363,0.931866763,0.931059364,0.928444334,0.925626338,0.924400522,0.923293484,0.923139627
..........Ordnance..8/,0.988376914,0.988778,0.989380411,0.989555769,0.989994767,0.990599733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
........Nondurable..goods..manufacturing,0.824209788,0.820910516,0.817561114,0.814625371,0.811024834,0.807884806,0.807593506,0.801975797,0.801304007,0.799744746,0.797622096,0.796867404,0.796290351,0.79864464,0.79665356,0.796375742,0.79654048,0.794526995,0.794440907,0.795933817,0.793291032,0.791799242,0.793088034,0.806932936,0.804221759,0.801756438,0.801408027,0.807141073,0.806434727,0.790703234,0.791182717,0.79747739
..........Food..and..kindred..products,0.845718288,0.844071348,0.842992702,0.841502588,0.840296495,0.837976297,0.83699323,0.834886305,0.833743372,0.832393971,0.830804055,0.831294138,0.83100346,0.825913047,0.824629674,0.824258832,0.825309348,0.82783837,0.825986192,0.826939748,0.830146576,0.831959441,0.832683924,0.834692837,0.834734011,0.831340678,0.835090571,0.834146214,0.837618932,0.83430812,0.830190009,0.836640081
..........Tobacco..products,0.994479523,0.994571603,0.994693116,0.994875336,0.995147165,0.995159315,0.995508423,0.99577229,0.995788537,0.995827261,0.995889781,0.995978346,0.996084916,0.996426249,0.996288673,0.996028252,0.996125792,0.996233623,0.998929725,0.999052815,0.999250133,0.999312431,0.997231991,0.996801796,0.996731832,0.996811502,0.996568973,0.997979013,0.998541891,0.999126727,0.998890775,0.998849604
..........Textile..mill..products,0.954621357,0.954555923,0.955446646,0.955668921,0.95530377,0.955262018,0.955929783,0.955545826,0.955303409,0.95521237,0.955440101,0.956172753,0.95635018,0.957484596,0.957898766,0.957834674,0.958735985,0.958359424,0.95806768,0.957806493,0.957265498,0.95574981,0.954386399,0.954182013,0.955012761,0.955002996,0.955462048,0.955914396,0.95650067,0.958009721,0.96014782,0.964267009
..........Apparel..and..other..textile..products,0.917863126,0.914483457,0.913419403,0.911235338,0.908288459,0.904402535,0.904177011,0.901305109,0.902986658,0.903690017,0.903154065,0.898975702,0.899306484,0.902801613,0.90223831,0.897460114,0.902546682,0.901930862,0.902827701,0.899601992,0.894720235,0.89383162,0.891207202,0.888559077,0.889313817,0.893302141,0.896545804,0.904906488,0.911398918,0.915256269,0.923191146,0.930762011
..........Paper..and..allied..products,0.946754104,0.94603145,0.945161649,0.945102317,0.944731747,0.945018861,0.944909669,0.944570446,0.94408184,0.943402587,0.943582643,0.944361345,0.944042068,0.944304986,0.943997455,0.942040474,0.942111744,0.94125947,0.939811586,0.939393929,0.937904097,0.936781122,0.933925905,0.931049928,0.932171004,0.929260915,0.928691298,0.926755291,0.924129324,0.923663602,0.921949091,0.926348875
