Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"..........Stone,..clay,..and..glass..products",0.45684803,0.45684803,0.45684803,0.45684803,0.45684803,0.45684803,0.45684803,0.45684803,0.45684803,0.45684803,0.458098812,0.458098812,0.458098812,0.469355847,0.469355847,0.479049406,0.472795497,0.467166979,0.468730457,0.461538462,0.464978111,0.460913071,0.452782989,0.396185116,0.387429644,0.385553471,0.368980613,0.354909318,0.366166354,0.411819887,0.407442151,0.42808005
..........Primary..metal..industries,0.258599124,0.258599124,0.258599124,0.258599124,0.258599124,0.258599124,0.258599124,0.258599124,0.258599124,0.258599124,0.260475297,0.260475297,0.260475297,0.268292683,0.267979987,0.209505941,0.282051282,0.280175109,0.285178236,0.281425891,0.288305191,0.282676673,0.24796748,0.203564728,0.209193246,0.20481551,0.253283302,0.247342089,0.249218261,0.269230769,0.271732333,0.2808005
..........Fabricated..metal..products,0.322701689,0.322701689,0.322701689,0.322701689,0.322701689,0.322701689,0.322701689,0.322701689,0.322701689,0.322701689,0.324577861,0.324577861,0.324577861,0.356785491,0.356472795,0.353033146,0.358974359,0.35272045,0.348968105,0.345841151,0.348030019,0.344903064,0.323014384,0.291744841,0.2876798,0.288617886,0.307066917,0.288617886,0.304878049,0.315196998,0.32395247,0.345528455
..........Industrial..machinery..and..equipment,0.383989994,0.383989994,0.383989994,0.383989994,0.383989994,0.383989994,0.383989994,0.383989994,0.383989994,0.383989994,0.385866166,0.385866166,0.385866166,0.395247029,0.394934334,0.398061288,0.383989994,0.385553471,0.394621639,0.387116948,0.378674171,0.371794872,0.353033146,0.311131957,0.298311445,0.290494059,0.296122577,0.272045028,0.281425891,0.303939962,0.304565353,0.319574734
..........Electronic..and..other..electric..equipment,0.282051282,0.282051282,0.282051282,0.282051282,0.282051282,0.282051282,0.282051282,0.282051282,0.282051282,0.282051282,0.283614759,0.283614759,0.283614759,0.322701689,0.322388993,0.322701689,0.323639775,0.320825516,0.317698562,0.31644778,0.32395247,0.322076298,0.328330206,0.304878049,0.30550344,0.302376485,0.302689181,0.304565353,0.30550344,0.309255785,0.325828643,0.346466542
..........Motor..vehicles..and..equipment,0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.066604128,0.066604128,0.066604128,0.284552846,0.28424015,0.293308318,0.308943089,0.308943089,0.304565353,0.320825516,0.323327079,0.321450907,0.328330206,0.292682927,0.088492808,0.222326454,0.079737336,0.066291432,0.291744841,0.362414009,0.3561601,0.367417136
..........Other..transportation..equipment,0.262664165,0.262664165,0.262664165,0.262664165,0.262664165,0.262664165,0.262664165,0.262664165,0.262664165,0.262664165,0.265165729,0.265165729,0.265165729,0.283614759,0.283614759,0.287367104,0.289868668,0.294871795,0.30206379,0.308317699,0.309881176,0.314571607,0.312382739,0.302376485,0.297686054,0.30206379,0.318949343,0.289868668,0.272983114,0.36366479,0.373358349,0.380863039
..........Instruments..and..related..products,0.20888055,0.20888055,0.20888055,0.20888055,0.20888055,0.20888055,0.20888055,0.20888055,0.20888055,0.20888055,0.210756723,0.210756723,0.210756723,0.239212008,0.238899312,0.234834271,0.242338962,0.246716698,0.243277048,0.256410256,0.260162602,0.268292683,0.267667292,0.254221388,0.248280175,0.246716698,0.255784866,0.261726079,0.264853033,0.265165729,0.274546592,0.281113196
..........Miscellaneous..manufacturing..industries,0.273921201,0.273921201,0.273921201,0.273921201,0.273921201,0.273921201,0.273921201,0.273921201,0.273921201,0.273921201,0.275171982,0.275171982,0.275171982,0.286741714,0.286429018,0.256097561,0.277360851,0.274859287,0.285803627,0.26985616,0.272670419,0.278298937,0.293308318,0.277673546,0.283927455,0.277986241,0.315509694,0.30550344,0.31300813,0.333646029,0.329893684,0.34521576
..........Ordnance..8/,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
........Nondurable..goods..manufacturing,0.207629769,0.207629769,0.207629769,0.207629769,0.207629769,0.207629769,0.207629769,0.207629769,0.207629769,0.207629769,0.212007505,0.212007505,0.212007505,0.208567855,0.208567855,0.211069418,0.209505941,0.211069418,0.207629769,0.203877423,0.202626642,0.206691682,0.194809256,0.123514697,0.125078174,0.132270169,0.237961226,0.213570982,0.236085053,0.30550344,0.30206379,0.307692308
..........Food..and..kindred..products,0.423389619,0.423389619,0.423389619,0.423389619,0.423389619,0.423389619,0.423389619,0.423389619,0.423389619,0.423389619,0.427141964,0.427141964,0.427141964,0.443714822,0.443714822,0.437148218,0.443714822,0.438711695,0.439962477,0.441838649,0.446529081,0.443089431,0.435897436,0.431832395,0.410569106,0.418073796,0.41369606,0.413383365,0.413383365,0.393683552,0.40275172,0.421513446
..........Tobacco..products,0.018449031,0.018449031,0.018449031,0.018449031,0.018449031,0.018449031,0.018449031,0.018449031,0.018449031,0.018449031,0.020325203,0.020325203,0.020325203,0.02532833,0.025015635,0.022826767,0.020637899,0.018449031,0.035334584,0.037523452,0.03220763,0.032833021,0.017510944,0.01782364,0.018136335,0.015634772,0.013758599,0.026891807,0.032833021,0.037523452,0.037523452,0.038461538
..........Textile..mill..products,0.181676048,0.181676048,0.181676048,0.181676048,0.181676048,0.181676048,0.181676048,0.181676048,0.181676048,0.181676048,0.18355222,0.18355222,0.18355222,0.189806129,0.189493433,0.190744215,0.201688555,0.20481551,0.216385241,0.222639149,0.233270794,0.247654784,0.237335835,0.241713571,0.241713571,0.24452783,0.236397749,0.232020013,0.241713571,0.252345216,0.248280175,0.25547217
..........Apparel..and..other..textile..products,0.392120075,0.392120075,0.392120075,0.392120075,0.392120075,0.392120075,0.392120075,0.392120075,0.392120075,0.392120075,0.393996248,0.393996248,0.393996248,0.39931207,0.39931207,0.393370857,0.401188243,0.395559725,0.385240775,0.393683552,0.393058161,0.407129456,0.405565979,0.37804878,0.386804253,0.376485303,0.380550344,0.38148843,0.378986867,0.392745466,0.38836773,0.40681676
..........Paper..and..allied..products,0.247654784,0.247654784,0.247654784,0.247654784,0.247654784,0.247654784,0.247654784,0.247654784,0.247654784,0.247654784,0.249530957,0.249530957,0.249530957,0.259537211,0.259224515,0.258599124,0.262664165,0.265478424,0.264540338,0.254846779,0.253595997,0.254534084,0.259537211,0.255784866,0.258599124,0.254846779,0.256410256,0.256722952,0.253908693,0.255784866,0.259849906,0.271732333
..........Printing..and..publishing,0.496247655,0.496247655,0.496247655,0.496247655,0.496247655,0.496247655,0.496247655,0.496247655,0.496247655,0.496247655,0.499061914,0.499061914,0.499061914,0.487804878,0.487804878,0.502814259,0.498749218,0.495309568,0.495309568,0.479987492,0.468105066,0.471544715,0.450906817,0.332707942,0.305816135,0.298936836,0.293308318,0.291744841,0.294246404,0.404315197,0.407442151,0.422451532
..........Chemicals..and..allied..products,0.328017511,0.328017511,0.328017511,0.328017511,0.328017511,0.328017511,0.328017511,0.328017511,0.328017511,0.328017511,0.329893684,0.329893684,0.329893684,0.3561601,0.355847405,0.356472795,0.354283927,0.3630394,0.354596623,0.317385866,0.320200125,0.340838024,0.294246404,0.299874922,0.284865541,0.282363977,0.287367104,0.266729206,0.273921201,0.340838024,0.343339587,0.3561601
..........Petroleum..and..coal..products,0.067229518,0.067229518,0.067229518,0.067229518,0.067229518,0.067229518,0.067229518,0.067229518,0.067229518,0.067229518,0.069105691,0.069105691,0.069105691,0.073483427,0.073170732,0.077235772,0.074734209,0.076297686,0.072232645,0.070981864,0.066916823,0.065978737,0.066291432,0.060350219,0.057223265,0.051282051,0.056597874,0.051282051,0.055034396,0.219512195,0.231394622,0.235772358
..........Rubber..and..miscellaneous..plastics..products,0.315196998,0.315196998,0.315196998,0.315196998,0.315196998,0.315196998,0.315196998,0.315196998,0.315196998,0.315196998,0.317073171,0.317073171,0.317073171,0.329893684,0.329580988,0.330206379,0.332707942,0.33427142,0.337711069,0.325515947,0.388055034,0.342714196,0.338961851,0.322388993,0.325515947,0.316135084,0.326454034,0.32395247,0.321450907,0.319574734,0.310506567,0.324577861
..........Leather..and..leather..products,0.181363352,0.181363352,0.181363352,0.181363352,0.181363352,0.181363352,0.181363352,0.181363352,0.181363352,0.181363352,0.183239525,0.183239525,0.183239525,0.199812383,0.199499687,0.202001251,0.192933083,0.197310819,0.166353971,0.187929956,0.191056911,0.19793621,0.159161976,0.18699187,0.191369606,0.191682301,0.183864916,0.180425266,0.176672921,0.192933083,0.193558474,0.196372733
......Transportation..and..public..utilities,0.055972483,0.055972483,0.055972483,0.055972483,0.055972483,0.055972483,0.055972483,0.055972483,0.055972483,0.055972483,0.057223265,0.057223265,0.057223265,0.04315197,0.042839275,0.039086929,0.042526579,0.041588493,0.035959975,0.032520325,0.029706066,0.029080675,0.038774234,0.037836148,0.033145716,0.03220763,0.03971232,0.036898061,0.040337711,0.087554722,0.087867417,0.087867417
........Railroad..transportation,0.091307067,0.091307067,0.091307067,0.091307067,0.091307067,0.091307067,0.091307067,0.091307067,0.091307067,0.091307067,0.09318324,0.09318324,0.09318324,0.090994371,0.090681676,0.077861163,0.077548468,0.07879925,0.086929331,0.077548468,0.080675422,0.08630394,0.09318324,0.084427767,0.073170732,0.075046904,0.079111945,0.097873671,0.096310194,0.045340838,0.051594747,0.054721701
........Trucking..and..warehousing,0.095372108,0.095372108,0.095372108,0.095372108,0.095372108,0.095372108,0.095372108,0.095372108,0.095372108,0.095372108,0.096310194,0.096310194,0.096310194,0.095997498,0.095997498,0.089430894,0.085365854,0.083489681,0.074108818,0.067854909,0.066604128,0.063789869,0.078173859,0.088180113,0.079737336,0.074734209,0.0684803,0.067542214,0.071607255,0.126641651,0.128205128,0.12945591
........Water..transportation,0.187617261,0.187617261,0.187617261,0.187617261,0.187617261,0.187617261,0.187617261,0.187617261,0.187617261,0.187617261,0.188242652,0.188242652,0.188242652,0.221075672,0.221075672,0.221388368,0.221701063,0.212007505,0.221701063,0.213570982,0.224515322,0.228893058,0.204190119,0.196685428,0.19449656,0.192933083,0.214509068,0.221388368,0.205753596,0.236085053,0.236397749,0.242651657
........Other..transportation,0.398686679,0.398686679,0.398686679,0.398686679,0.398686679,0.398686679,0.398686679,0.398686679,0.398686679,0.398686679,0.399937461,0.399937461,0.399937461,0.411819887,0.411507192,0.421826141,0.414946842,0.40275172,0.423702314,0.414321451,0.416510319,0.413383365,0.385553471,0.407754847,0.379299562,0.378361476,0.39243277,0.418699187,0.424015009,0.503126954,0.508442777,0.520012508
..........Local..and..interurban..passenger..transit,0.213258286,0.213258286,0.213258286,0.213258286,0.213258286,0.213258286,0.213258286,0.213258286,0.213258286,0.213258286,0.21575985,0.21575985,0.21575985,0.239837398,0.239524703,0.251407129,0.25203252,0.263914947,0.248905566,0.251719825,0.259849906,0.268605378,0.227642276,0.249218261,0.234208881,0.242026266,0.263289556,0.278924328,0.292057536,0.398061288,0.40619137,0.416823014
..........Transportation..by..air,0.242651657,0.242651657,0.242651657,0.242651657,0.242651657,0.242651657,0.242651657,0.242651657,0.242651657,0.242651657,0.243277048,0.243277048,0.243277048,0.262038774,0.261726079,0.346779237,0.337085679,0.338649156,0.301438399,0.335834897,0.340212633,0.337085679,0.243902439,0.290806754,0.281738587,0.282989368,0.26641651,0.309255785,0.292057536,0.334896811,0.333646029,0.333020638
"..........Pipelines,..except..natural..gas",0.158536585,0.158536585,0.158536585,0.158536585,0.158536585,0.158536585,0.158536585,0.158536585,0.158536585,0.158536585,0.160100063,0.160100063,0.160100063,0.172295184,0.171982489,0.171044403,0.169793621,0.168855535,0.163852408,0.161350844,0.164477799,0.172295184,0.162914321,0.165415885,0.159787367,0.159787367,0.15478424,0.146341463,0.148843027,0.158849281,0.164790494,0.164165103
